"interaction_dt","campaign_nm","placement_nm","impressions","clicks","givt","fraud_impressions"
"2026-06-23","Мечникова // Media yandex // июнь 2026","lmech-rspb_yandex_spb_banner_jun26_none_basic_lal-crm-meetings_prg",11,1,0,0
"2026-06-02","Воронцовская // Video yandex // июнь 2026","vr_yandex_msk_video_jun26_none_basic_int-commercial-rent_prg",639,1,0,0
"2026-05-27","roxot // Май 2026_","sav_roxot_msk_banner_may26_none_savvinskaya17_general_prg",20613,108,706,26
"2026-06-23","Селигерская // MTS // июнь 2026","sel_family_mts_msk_video_jun26_none_basic_semeiniye_prg",38299,637,2663,253
"2026-06-05","Остатки // Media yandex // июнь 2026","lg_last_yandex_msk_banner_jun26_none_key-lb_utp-keys-26_prg",190,6,0,0
"2026-07-24","video yandex // Май 2026_","pc_yandex_msk_video_may26_none_vert-bf_int-premium-residential-properties-button_prg",0,1,0,0
"2026-06-07","Лесной регионы // Avito // июнь 2026","gvl_avito-ads_reg_banner_jun26_none_minus40_int-premium-apartments_mrk",72,0,2,0
"2026-06-26","video yandex // Май 2026_","gvl_yandex_msk_video_may26_none_vert-bf_int-residential-properties-new-outstream_prg",0,1,0,0
"2026-07-02","Лесной регионы // Media yandex // июнь 2026","gvl_yandex_reg_banner_jun26_none_bf_lal-crm-deals_prg",0,1,0,0
"2026-06-28","promopages // Май 2026_","lg_promopages_msk_article_may26_none_every-day_none_cont",152,0,0,0
"2026-07-28","Войковская // Ozon // июль 2026","lv_ozon_msk_banner_jul26_none_sale_sales_mrk",15027,12,549,39
"2026-07-23","media yandex // Май 2026_","gvl_yandex_reg_banner_may26_none_basic_keys-buy-flat_prg",0,1,0,0
"2026-06-11","video yandex // Май 2026_","lwnizh-rmsk_yandex_msk_video_may26_none_hor_int-invest-no-button_prg",1,0,0,0
"2026-06-07","Южнопортовая регионы // MTS // июнь 2026","sp_mts_reg_video_jun26_none_bf_real-estate_prg",65399,278,522,3390
"2026-07-17","Звенигородская // Video yandex // июнь 2026","zv_yandex_msk_video_jun26_none_bf_int-residential-real-estate_prg",0,1,0,0
"2026-06-09","Южнопортовая // MTS // июнь 2026","sp_family_mts_msk_video_jun26_none_hor_semeiniye_prg",2163,7,15,0
"2026-07-31","Воронцовская // Media yandex // июль 2026","vr_yandex_msk_banner_jul26_none_vvod2026_amb-office-furniture_prg",110,1,0,0
"2026-07-13","Южнопортовая // Roxot // июль 2026","sp_roxot_msk_banner_jul26_none_sale_real-estate_prg",145318,379,4463,2080
"2026-07-15","Павелецкая Сити // Video yandex // июль 2026","pc_yandex_msk_video_jul26_none_lift_visitors-sites-real-estate_prg",3626,12,0,0
"2026-07-16","Остатки // Roxot // июль 2026","lg_last_roxot_msk_banner_jul26_none_bant-ng_real-estate_prg",1,1,0,0
"2026-07-21","media yandex // Май 2026_","ng_family_yandex_msk_banner_may26_none_basic_int-kids-super-geo_prg",0,1,0,0
"2026-05-25","video yandex // Май 2026_","lm_yandex_msk_video_may26_none_vert_int-mortgage-no-button_prg",0,1,0,0
"2026-05-19","video yandex // Май 2026_","vr_yandex_msk_video_may26_none_hor_int-commercial-estate_prg",37388,15,2,0
"2026-07-08","Южнопортовая регионы // Media yandex // июль 2026","sp_yandex_banner_reg_prov_jul26_pfo_sale_int-residential-properties-new_prg",979,4,0,0
"2026-06-07","Остатки // Media yandex // июнь 2026","lg_last_yandex_msk_banner_jun26_none_key-ak_int-mortgage_prg",1805,5,0,0
"2026-07-19","Остатки // Media yandex // июль 2026","lg_last_yandex_msk_banner_jul26_none_bant-ng_int-invest_prg",2752,6,0,0
"2026-07-21","video yandex // Май 2026_","lm_yandex_msk_video_may26_none_vert_int-premium-real-estate-no-button_prg",0,1,0,0
"2026-07-10","video yandex // Май 2026_","gvl_yandex_msk_video_may26_none_hor-bf_int-premium-real-estate_prg",0,1,0,0
"2026-06-18","video yandex // Май 2026_","gvl_yandex_msk_video_may26_none_vert_lal-calls_prg",0,1,0,0
"2026-06-07","Войковская // Ozon // июнь 2026","lv_ozon_msk_banner_jun26_none_minus40_income-bc_mrk",5246,9,166,3
"2026-07-28","video yandex // Май 2026_","lv_yandex_msk_video_may26_none_hor_lal-calls_prg",0,1,0,0
"2026-06-24","Павелецкая Сити // Yandex_Go // июнь 2026","pc_yandexgo_msk_banner_jun26_none_minus20_int-prem-real-estate_med",509,0,86,117
"2026-07-22","video yandex // Май 2026_","gvl_yandex_msk_video_may26_none_hor_lal-calls_prg",0,1,0,0
"2026-06-08","Южнопортовая регионы // Ozon // июнь 2026","sp_ozon_reg_banner_jun26_none_minus40_main-real-estate_mrk",59,0,2,0
"2026-07-29","Зонтик // rpl-matchtv // Август 2026","lg_spec_rpl_matchtv",2,2,0,0
"2026-07-20","Звенигородская // Video yandex // июль 2026","zv_yandex_msk_video_jul26_none_cozy-home_int-residential-properties-new_prg",0,3,0,0
